,Image,Red,Blue,Green,Yellow,Purple,orange,black,Gray,white
0,acuaparkshinagawa.jpg,59991,791,4,1222,204104,7823,6688,239557,119820
1,akarenga.jpg,129923,0,17,0,190333,0,69573,105204,144950
2,aoiike.jpg,108351,0,0,797,229069,0,23257,170980,107546
3,ashikaga.jpg,0,225,0,26237,178978,11,92105,138281,204163
4,desney.jpg,2359,30,21,67,157769,73,9387,133478,336816
5,desneysea.jpg,171781,216,134,39,146618,509,62315,163132,95256
6,fusimizinzya.jpg,206697,2386,0,0,136698,104641,80880,63198,45500
7,fuzisan.jpg,99124,0,0,0,203486,9823,26,60546,266995
8,ginzanonsen.jpg,142,288,736,138,167183,569,118608,178363,173973
9,hausutenbos.jpg,3098,1941,7111,15862,119777,4718,71525,165678,250290
10,houkokuji.jpg,0,0,0,12521,139287,0,120579,338975,28638
11,kawagoejinzya.jpg,271,0,0,116,100276,36,126849,148860,263592
12,kenrokuen.jpg,96927,170,579,6473,128663,146,121288,192927,92827
13,kifunejinzya.jpg,47551,849,4740,55039,166989,3061,35488,217947,108336
14,kokueihichi.jpg,19838,2,4,0,117731,12508,47221,81571,361125
15,nabananosato.jpg,4437,3800,22563,91358,132956,1467,40127,151096,192196
16,rurikouin.jpg,8243,29349,3710,2602,130399,22859,255729,142296,44813
17,skytree.jpg,79484,0,0,0,237501,1,14511,88160,220343
18,tokyotower.jpg,13765,73,1351,620,53060,317,1274,31026,538514
19,USJ.jpg,93644,328,0,6,133641,181,113418,208392,90390
